,text,term,polarity
322,That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,mouse,1
323,"Fan vents to the side, so no cooling pad needed, great feature!",Fan,1
324,"Fan vents to the side, so no cooling pad needed, great feature!",cooling pad,0
325,"Fan vents to the side, so no cooling pad needed, great feature!",feature,1
326,"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",software,1
327,Wasted me at least 8 hours of installation time.,installation time,-1
328,"It has far exceeded my expectations for power, storage, and abilitiy.",power,1
329,"It has far exceeded my expectations for power, storage, and abilitiy.",storage,1
330,"It has far exceeded my expectations for power, storage, and abilitiy.",abilitiy,1
331,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",spotlight search,1
332,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",feature,1
333,My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,wireless system,-1
334,My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,Windows 7,0
335,I am enjoying it and the quality it provides is great!,quality,1
336,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",battery life,1
337,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",speed,1
338,"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS,1
339,"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS,1
340,"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",iTunes,1
341,"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",program,1
342,Mac is not made for gaming.,gaming,-1
343,"Well I spilled something on it and they replaced it with this model, which gets hot and the battery doesn't make it through 1 DVD.",battery,-1
344,"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",Apple support,1
345,"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",techs,1
346,But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.,adding the bluetooth,-1
347,I need graphic power to run my Adobe Creative apps efficiently.,graphic power,0
348,I need graphic power to run my Adobe Creative apps efficiently.,Adobe Creative apps,0
349,the programs are esay to use and are quick to process this computer works like a charm.,programs,1
350,the programs are esay to use and are quick to process this computer works like a charm.,use,1
351,The materials that came with the computer did not include the right # anywhere.,materials,-1
352,It does not even have the software to play a dvd now.,software,-1
353,Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,Tech support,1
354,Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,power supply,-1
355,HOW DOES THE POWER SUPPLY NOT WORK!!!,POWER SUPPLY,-1
356,Sells for the same as a netbook without sacrificing size.,size,1
357,"  upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.",warranty,0
358,"Windows XP SP2 caused many problems on the computer, so I had to remove it.",Windows XP SP2,-1
359,"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Windows 7 Ultimate,-1
360,"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Bluetooth,-1
361,"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Fingerprint reader,-1
362,"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",software,-1
363,None of the techs at HP knew what they were doing.,techs at HP,-1
364,"this is my second one and the same problem, bad video card  unreliable overall, this will be my second time returning this laptop back to best buy.",video card,-1
365,"With awesome graphics and assuring security, it's perfect!",graphics,1
366,"With awesome graphics and assuring security, it's perfect!",security,1
